Test Size,Model,Accuracy,Runtime
0.2,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=12,
                      time_left_for_this_task=30),0.9850205761316873,7.901747922999998
0.4,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=12,
                      time_left_for_this_task=30),0.9865020576131687,12.836527558777773
0.6,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=12,
                      time_left_for_this_task=30),0.9623045267489714,20.14423704533334
