File Trained On,Model,Accuracy,Runtime
b5000d100.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.9121296296296296
b5000d30.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.9279166666666666
b100d10.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.730925925925926
b1000d10.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.895787037037037
b1000d100.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.8930092592592592
b100d100.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.8668055555555556
b5000d10.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.9121296296296296
b1000d30.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.9299074074074074
b100d30.csv,AutoSklearnClassifier(memory_limit=4096, n_jobs=-1, per_run_time_limit=120,
                      time_left_for_this_task=300),0.8837037037037037
