Trained On,Tested On,Model,Accuracy,Runtime
b5000d100.csv,b5000d30.csv,LinearSVC(),0.8718518518518519,0.08955064099999888
b5000d100.csv,b100d10.csv,LinearSVC(),0.4318518518518519,0.08955064099999888
b5000d100.csv,b1000d10.csv,LinearSVC(),0.6381481481481481,0.08955064099999888
b5000d100.csv,b1000d100.csv,LinearSVC(),0.8677777777777778,0.08955064099999888
b5000d100.csv,b100d100.csv,LinearSVC(),0.6488888888888888,0.08955064099999888
b5000d100.csv,b5000d10.csv,LinearSVC(),0.7918518518518518,0.08955064099999888
b5000d100.csv,b1000d30.csv,LinearSVC(),0.8437037037037037,0.08955064099999888
b5000d100.csv,b100d30.csv,LinearSVC(),0.6592592592592592,0.08955064099999888
b5000d30.csv,b5000d100.csv,LinearSVC(),0.8540740740740741,0.11979709100000235
b5000d30.csv,b100d10.csv,LinearSVC(),0.39814814814814814,0.11979709100000235
b5000d30.csv,b1000d10.csv,LinearSVC(),0.6655555555555556,0.11979709100000235
b5000d30.csv,b1000d100.csv,LinearSVC(),0.8544444444444445,0.11979709100000235
b5000d30.csv,b100d100.csv,LinearSVC(),0.6118518518518519,0.11979709100000235
b5000d30.csv,b5000d10.csv,LinearSVC(),0.7907407407407407,0.11979709100000235
b5000d30.csv,b1000d30.csv,LinearSVC(),0.8481481481481481,0.11979709100000235
b5000d30.csv,b100d30.csv,LinearSVC(),0.6125925925925926,0.11979709100000235
b100d10.csv,b5000d100.csv,LinearSVC(),0.5807407407407408,0.138523622000001
b100d10.csv,b5000d30.csv,LinearSVC(),0.5562962962962963,0.138523622000001
b100d10.csv,b1000d10.csv,LinearSVC(),0.6359259259259259,0.138523622000001
b100d10.csv,b1000d100.csv,LinearSVC(),0.6122222222222222,0.138523622000001
b100d10.csv,b100d100.csv,LinearSVC(),0.6911111111111111,0.138523622000001
b100d10.csv,b5000d10.csv,LinearSVC(),0.6918518518518518,0.138523622000001
b100d10.csv,b1000d30.csv,LinearSVC(),0.5274074074074074,0.138523622000001
b100d10.csv,b100d30.csv,LinearSVC(),0.667037037037037,0.138523622000001
b1000d10.csv,b5000d100.csv,LinearSVC(),0.7440740740740741,0.12572399999999817
b1000d10.csv,b5000d30.csv,LinearSVC(),0.6811111111111111,0.12572399999999817
b1000d10.csv,b100d10.csv,LinearSVC(),0.44555555555555554,0.12572399999999817
b1000d10.csv,b1000d100.csv,LinearSVC(),0.7651851851851852,0.12572399999999817
b1000d10.csv,b100d100.csv,LinearSVC(),0.6603703703703704,0.12572399999999817
b1000d10.csv,b5000d10.csv,LinearSVC(),0.8096296296296296,0.12572399999999817
b1000d10.csv,b1000d30.csv,LinearSVC(),0.6433333333333333,0.12572399999999817
b1000d10.csv,b100d30.csv,LinearSVC(),0.6551851851851852,0.12572399999999817
b1000d100.csv,b5000d100.csv,LinearSVC(),0.8574074074074074,0.08227169199999196
b1000d100.csv,b5000d30.csv,LinearSVC(),0.8677777777777778,0.08227169199999196
b1000d100.csv,b100d10.csv,LinearSVC(),0.4348148148148148,0.08227169199999196
b1000d100.csv,b1000d10.csv,LinearSVC(),0.6622222222222223,0.08227169199999196
b1000d100.csv,b100d100.csv,LinearSVC(),0.6618518518518518,0.08227169199999196
b1000d100.csv,b5000d10.csv,LinearSVC(),0.8025925925925926,0.08227169199999196
b1000d100.csv,b1000d30.csv,LinearSVC(),0.8255555555555556,0.08227169199999196
b1000d100.csv,b100d30.csv,LinearSVC(),0.6637037037037037,0.08227169199999196
b100d100.csv,b5000d100.csv,LinearSVC(),0.782962962962963,0.0913315410000024
b100d100.csv,b5000d30.csv,LinearSVC(),0.6051851851851852,0.0913315410000024
b100d100.csv,b100d10.csv,LinearSVC(),0.4803703703703704,0.0913315410000024
b100d100.csv,b1000d10.csv,LinearSVC(),0.7011111111111111,0.0913315410000024
b100d100.csv,b1000d100.csv,LinearSVC(),0.8133333333333334,0.0913315410000024
b100d100.csv,b5000d10.csv,LinearSVC(),0.7222222222222222,0.0913315410000024
b100d100.csv,b1000d30.csv,LinearSVC(),0.6048148148148148,0.0913315410000024
b100d100.csv,b100d30.csv,LinearSVC(),0.7340740740740741,0.0913315410000024
b5000d10.csv,b5000d100.csv,LinearSVC(),0.8237037037037037,0.11361787200000606
b5000d10.csv,b5000d30.csv,LinearSVC(),0.8140740740740741,0.11361787200000606
b5000d10.csv,b100d10.csv,LinearSVC(),0.4488888888888889,0.11361787200000606
b5000d10.csv,b1000d10.csv,LinearSVC(),0.7107407407407408,0.11361787200000606
b5000d10.csv,b1000d100.csv,LinearSVC(),0.8640740740740741,0.11361787200000606
b5000d10.csv,b100d100.csv,LinearSVC(),0.6825925925925926,0.11361787200000606
b5000d10.csv,b1000d30.csv,LinearSVC(),0.7496296296296296,0.11361787200000606
b5000d10.csv,b100d30.csv,LinearSVC(),0.7040740740740741,0.11361787200000606
b1000d30.csv,b5000d100.csv,LinearSVC(),0.8159259259259259,0.11464486699999554
b1000d30.csv,b5000d30.csv,LinearSVC(),0.8422222222222222,0.11464486699999554
b1000d30.csv,b100d10.csv,LinearSVC(),0.43148148148148147,0.11464486699999554
b1000d30.csv,b1000d10.csv,LinearSVC(),0.702962962962963,0.11464486699999554
b1000d30.csv,b1000d100.csv,LinearSVC(),0.8137037037037037,0.11464486699999554
b1000d30.csv,b100d100.csv,LinearSVC(),0.5944444444444444,0.11464486699999554
b1000d30.csv,b5000d10.csv,LinearSVC(),0.762962962962963,0.11464486699999554
b1000d30.csv,b100d30.csv,LinearSVC(),0.5988888888888889,0.11464486699999554
b100d30.csv,b5000d100.csv,LinearSVC(),0.4262962962962963,0.11016375599999151
b100d30.csv,b5000d30.csv,LinearSVC(),0.3466666666666667,0.11016375599999151
b100d30.csv,b100d10.csv,LinearSVC(),0.4866666666666667,0.11016375599999151
b100d30.csv,b1000d10.csv,LinearSVC(),0.6185185185185185,0.11016375599999151
b100d30.csv,b1000d100.csv,LinearSVC(),0.48444444444444446,0.11016375599999151
b100d30.csv,b100d100.csv,LinearSVC(),0.7514814814814815,0.11016375599999151
b100d30.csv,b5000d10.csv,LinearSVC(),0.5211111111111111,0.11016375599999151
b100d30.csv,b1000d30.csv,LinearSVC(),0.40555555555555556,0.11016375599999151
