Transfer,CC,Model,Accuracy
expanse -> chameleon,cubic,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),35.72
expanse -> chameleon,htcp,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),16.7
expanse -> chameleon,bbr,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),60.15
expanse -> chameleon,cubic,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),40.31
expanse -> chameleon,htcp,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),56.85
expanse -> chameleon,bbr,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),57.63
