Trained On,Tested On,Model,Accuracy,,,
b1000d100.csv,GradientBoostingClassifier(),b1000d10.csv,0.599259259,,,
b1000d100.csv,GradientBoostingClassifier(),b1000d30.csv,0.953333333,,,
b1000d100.csv,GradientBoostingClassifier(),b100d10.csv,0.168148148,,,
b1000d100.csv,GradientBoostingClassifier(),b100d100.csv,1,,,
b1000d100.csv,GradientBoostingClassifier(),b100d30.csv,0.994074074,,,
b1000d100.csv,GradientBoostingClassifier(),b5000d10.csv,0.569259259,,,
b1000d100.csv,GradientBoostingClassifier(),b5000d100.csv,1,,,
b1000d100.csv,GradientBoostingClassifier(),b5000d30.csv,0.972592593,,,
b1000d30.csv,GradientBoostingClassifier(),b1000d10.csv,0.97037037,,,
b1000d30.csv,GradientBoostingClassifier(),b1000d100.csv,0.997777778,,,
b1000d30.csv,GradientBoostingClassifier(),b100d10.csv,0.239259259,,,
b1000d30.csv,GradientBoostingClassifier(),b100d100.csv,0.998888889,,,
b1000d30.csv,GradientBoostingClassifier(),b100d30.csv,1,,,
b1000d30.csv,GradientBoostingClassifier(),b5000d10.csv,0.981851852,,,
b1000d30.csv,GradientBoostingClassifier(),b5000d100.csv,0.992222222,,,
b1000d30.csv,GradientBoostingClassifier(),b5000d30.csv,1,,,
b100d10.csv,GradientBoostingClassifier(),b1000d10.csv,0.82,,,
b100d10.csv,GradientBoostingClassifier(),b1000d100.csv,0.490740741,,,
b100d10.csv,GradientBoostingClassifier(),b1000d30.csv,0.505925926,,,
b100d10.csv,GradientBoostingClassifier(),b100d100.csv,0.490740741,,,
b100d10.csv,GradientBoostingClassifier(),b100d30.csv,0.662592593,,,
b100d10.csv,GradientBoostingClassifier(),b5000d10.csv,0.692222222,,,
b100d10.csv,GradientBoostingClassifier(),b5000d100.csv,0.472222222,,,
b100d10.csv,GradientBoostingClassifier(),b5000d30.csv,0.505185185,,,
b100d100.csv,GradientBoostingClassifier(),b1000d10.csv,0.947777778,,,
b100d100.csv,GradientBoostingClassifier(),b1000d100.csv,0.988148148,,,
b100d100.csv,GradientBoostingClassifier(),b1000d30.csv,0.99,,,
b100d100.csv,GradientBoostingClassifier(),b100d10.csv,0.205185185,,,
b100d100.csv,GradientBoostingClassifier(),b100d30.csv,0.995185185,,,
b100d100.csv,GradientBoostingClassifier(),b5000d10.csv,0.822222222,,,
b100d100.csv,GradientBoostingClassifier(),b5000d100.csv,0.971111111,,,
