Trained On,Tested On,Model,Accuracy,Runtime,,
b1000d100.csv,b100d30.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.701481481,,,
b100d100.csv,b5000d100.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.793333333,,,
b100d100.csv,b5000d30.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.665555556,,,
b100d100.csv,b100d10.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.649259259,,,
b100d100.csv,b1000d10.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.652592593,,,
b100d100.csv,b1000d100.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.828518519,,,
b100d100.csv,b5000d10.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.593333333,,,
b100d100.csv,b1000d30.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.588148148,,,
b100d100.csv,b100d30.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.541851852,,,
b5000d10.csv,b5000d100.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.714814815,,,
b5000d10.csv,b5000d30.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.804814815,,,
b5000d10.csv,b100d10.csv,AutoSklearnClassifier(memory_limit=4096 n_jobs=-1 per_run_time_limit=12                      time_left_for_this_task=30),0.68037037,,,
