File,Model,Accuracy,Std Dev
b5000d100.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9692592592592593,0.026296296296296262
b5000d30.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9766666666666667,0.023333333333333317
b100d10.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.8518518518518519,0.03555555555555556
b1000d10.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9707407407407407,0.029259259259259263
b1000d100.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9774074074074074,0.01518518518518519
b100d100.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9637037037037037,0.03629629629629627
b5000d10.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9433333333333334,0.05444444444444446
b1000d30.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9740740740740741,0.025925925925925908
b100d30.csv,AutoSklearn2Classifier(memory_limit=4096, n_jobs=-1, time_left_for_this_task=30),0.9896296296296296,0.010370370370370363
