model_id,rank,ensemble_weight,type,cost,duration
2,1,0.02,gradient_boosting,0.08962962962962961,19.336560249328613
47,2,0.08,gradient_boosting,0.09592592592592593,19.000293731689453
29,3,0.02,random_forest,0.09814814814814815,9.364020824432373
42,4,0.08,gradient_boosting,0.09962962962962962,23.880683660507202
17,5,0.04,extra_trees,0.1037037037037037,7.575952768325806
10,6,0.04,extra_trees,0.10518518518518519,7.396250486373901
50,7,0.04,gradient_boosting,0.10814814814814817,17.37847876548767
35,8,0.04,random_forest,0.11148148148148147,6.688348054885864
60,9,0.02,random_forest,0.11148148148148149,7.858598709106445
32,10,0.04,extra_trees,0.1114814814814815,10.095966100692749
69,11,0.06,random_forest,0.1125925925925926,7.243168354034424
55,12,0.02,gradient_boosting,0.11703703703703702,10.131536960601807
45,13,0.02,gradient_boosting,0.11851851851851852,7.640355825424194
8,14,0.08,mlp,0.12407407407407411,60.33863949775696
39,15,0.28,extra_trees,0.12666666666666665,7.208213567733765
2,1,0.02,gradient_boosting,0.08962962962962961,19.336560249328613
47,2,0.08,gradient_boosting,0.09592592592592593,19.000293731689453
29,3,0.02,random_forest,0.09814814814814815,9.364020824432373
42,4,0.08,gradient_boosting,0.09962962962962962,23.880683660507202
17,5,0.04,extra_trees,0.1037037037037037,7.575952768325806
10,6,0.04,extra_trees,0.10518518518518519,7.396250486373901
50,7,0.04,gradient_boosting,0.10814814814814817,17.37847876548767
35,8,0.04,random_forest,0.11148148148148147,6.688348054885864
60,9,0.02,random_forest,0.11148148148148149,7.858598709106445
32,10,0.04,extra_trees,0.1114814814814815,10.095966100692749
69,11,0.06,random_forest,0.1125925925925926,7.243168354034424
55,12,0.02,gradient_boosting,0.11703703703703702,10.131536960601807
45,13,0.02,gradient_boosting,0.11851851851851852,7.640355825424194
8,14,0.08,mlp,0.12407407407407411,60.33863949775696
39,15,0.28,extra_trees,0.12666666666666665,7.208213567733765
2,1,0.02,gradient_boosting,0.08962962962962961,19.336560249328613
47,2,0.08,gradient_boosting,0.09592592592592593,19.000293731689453
29,3,0.02,random_forest,0.09814814814814815,9.364020824432373
42,4,0.08,gradient_boosting,0.09962962962962962,23.880683660507202
17,5,0.04,extra_trees,0.1037037037037037,7.575952768325806
10,6,0.04,extra_trees,0.10518518518518519,7.396250486373901
50,7,0.04,gradient_boosting,0.10814814814814817,17.37847876548767
35,8,0.04,random_forest,0.11148148148148147,6.688348054885864
60,9,0.02,random_forest,0.11148148148148149,7.858598709106445
32,10,0.04,extra_trees,0.1114814814814815,10.095966100692749
69,11,0.06,random_forest,0.1125925925925926,7.243168354034424
55,12,0.02,gradient_boosting,0.11703703703703702,10.131536960601807
45,13,0.02,gradient_boosting,0.11851851851851852,7.640355825424194
8,14,0.08,mlp,0.12407407407407411,60.33863949775696
39,15,0.28,extra_trees,0.12666666666666665,7.208213567733765
2,1,0.02,gradient_boosting,0.08962962962962961,19.336560249328613
47,2,0.08,gradient_boosting,0.09592592592592593,19.000293731689453
29,3,0.02,random_forest,0.09814814814814815,9.364020824432373
42,4,0.08,gradient_boosting,0.09962962962962962,23.880683660507202
17,5,0.04,extra_trees,0.1037037037037037,7.575952768325806
10,6,0.04,extra_trees,0.10518518518518519,7.396250486373901
50,7,0.04,gradient_boosting,0.10814814814814817,17.37847876548767
35,8,0.04,random_forest,0.11148148148148147,6.688348054885864
60,9,0.02,random_forest,0.11148148148148149,7.858598709106445
32,10,0.04,extra_trees,0.1114814814814815,10.095966100692749
69,11,0.06,random_forest,0.1125925925925926,7.243168354034424
55,12,0.02,gradient_boosting,0.11703703703703702,10.131536960601807
