RandomForestRegressor,0.7355546474626665,0.03306639657627168
GradientBoostingRegressor,0.6948784587885822,0.07386099753146601
DecisionTreeRegressor,0.49840601232395887,0.10211603370921386
MLPRegressor,0.6697269103122769,0.09109034038280377
LinearSVR,0.18436638744846148,0.3093722714590259
RandomForestRegressor,0.7349251902868289,0.03499768093974159
GradientBoostingRegressor,0.6929376704802725,0.0779080548378983
DecisionTreeRegressor,0.4445922979677065,0.16240007218730415
MLPRegressor,0.6609190262344458,0.1261831491624216
LinearSVR,0.18730678715086016,0.3102373817077096
RandomForestRegressor,0.7327804083534867,0.034560589607756646
GradientBoostingRegressor,0.6941287088624046,0.07524355423958035
DecisionTreeRegressor,0.48639276985359736,0.11152588194261842
MLPRegressor,0.6798601925536143,0.09452584290579755
LinearSVR,0.18775975965777664,0.30705636788513757
RandomForestRegressor,0.7378891037054913,0.03285386565043266
GradientBoostingRegressor,0.6916048763622591,0.08086873161480244
DecisionTreeRegressor,0.43928101339601566,0.180606444059984
MLPRegressor,0.6648547545525281,0.12330400076411348
LinearSVR,0.1927334680130276,0.30431745629791757
RandomForestRegressor,0.7365688695353219,0.03285825309231688
GradientBoostingRegressor,0.694759405115267,0.07429255305988924
DecisionTreeRegressor,0.4449587243573152,0.17149706087099842
MLPRegressor,0.6394778141912779,0.16382919706497598
LinearSVR,0.18519997876367617,0.3113742241602946
