model_id,rank,ensemble_weight,type,cost,duration
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
2,1,0.02,gradient_boosting,0.08962962962962964,12.556973695755005
3,2,0.02,extra_trees,0.09592592592592593,7.597943305969238
12,3,0.96,sgd,0.5296296296296297,6.653595924377441
4,1,0.04,extra_trees,0.03814814814814815,7.734518527984619
16,2,0.02,random_forest,0.04000000000000002,9.422064065933228
10,3,0.02,gradient_boosting,0.041111111111111126,9.427069187164307
6,4,0.02,gradient_boosting,0.04370370370370371,13.968217134475708
8,5,0.02,gradient_boosting,0.04370370370370371,9.110352754592896
3,6,0.02,gradient_boosting,0.04444444444444442,12.210400819778442
18,7,0.04,extra_trees,0.05037037037037033,7.3399434089660645
9,8,0.1,mlp,0.10814814814814816,24.404902696609497
7,9,0.06,mlp,0.3707407407407407,20.868995189666748
13,10,0.66,sgd,0.4788888888888889,6.878983974456787
4,1,0.04,extra_trees,0.03814814814814815,7.734518527984619
16,2,0.02,random_forest,0.04000000000000002,9.422064065933228
10,3,0.02,gradient_boosting,0.041111111111111126,9.427069187164307
6,4,0.02,gradient_boosting,0.04370370370370371,13.968217134475708
8,5,0.02,gradient_boosting,0.04370370370370371,9.110352754592896
3,6,0.02,gradient_boosting,0.04444444444444442,12.210400819778442
18,7,0.04,extra_trees,0.05037037037037033,7.3399434089660645
9,8,0.1,mlp,0.10814814814814816,24.404902696609497
7,9,0.06,mlp,0.3707407407407407,20.868995189666748
13,10,0.66,sgd,0.4788888888888889,6.878983974456787
4,1,0.04,extra_trees,0.03814814814814815,7.734518527984619
16,2,0.02,random_forest,0.04000000000000002,9.422064065933228
10,3,0.02,gradient_boosting,0.041111111111111126,9.427069187164307
6,4,0.02,gradient_boosting,0.04370370370370371,13.968217134475708
8,5,0.02,gradient_boosting,0.04370370370370371,9.110352754592896
3,6,0.02,gradient_boosting,0.04444444444444442,12.210400819778442
18,7,0.04,extra_trees,0.05037037037037033,7.3399434089660645
9,8,0.1,mlp,0.10814814814814816,24.404902696609497
7,9,0.06,mlp,0.3707407407407407,20.868995189666748
13,10,0.66,sgd,0.4788888888888889,6.878983974456787
4,1,0.04,extra_trees,0.03814814814814815,7.734518527984619
