Transfer,CC,Model,Accuracy,
expanse -> chameleon,cubic,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),85.33,0.8533
expanse -> chameleon,htcp,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),67.37,0.6737
expanse -> chameleon,bbr,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),93.52,0.9352
expanse -> chameleon,cubic,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),83.92,0.8392
expanse -> chameleon,htcp,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),70.22,0.7022
expanse -> chameleon,bbr,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),80.78,0.8078
