Transfer,CC,Model,Accuracy
chameleon -> expanse,cubic,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),55.59
chameleon -> expanse,htcp,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),73.93
chameleon -> expanse,bbr,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; per_run_time_limit=12;                      time_left_for_this_task=30),63.07
chameleon -> expanse,cubic,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),54.67
chameleon -> expanse,htcp,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),57.52
chameleon -> expanse,bbr,AutoSklearn2Classifier(memory_limit=4096; metric=accuracy; n_jobs=-1;                       per_run_time_limit=12; time_left_for_this_task=30),61.85
