File,Model,Accuracy,Std Dev,,,
b100d100.csv,GradientBoostingClassifier(),0.974814815,0.01242812,,,
b100d30.csv,GradientBoostingClassifier(),0.99037037,0.005158662,,,
b5000d10.csv,GradientBoostingClassifier(),0.999259259,0.001481481,,,
b5000d100.csv,GradientBoostingClassifier(),0.965925926,0.021101362,,,
b5000d30.csv,GradientBoostingClassifier(),0.984814815,0.006869347,,,
b1000d10.csv,LinearSVC(),0.561851852,0.063684321,,,
b1000d100.csv,LinearSVC(),0.373703704,0.019471762,,,
b1000d30.csv,LinearSVC(),0.377407407,0.135782041,,,
b100d10.csv,LinearSVC(),0.497777778,0.128189888,,,
b100d100.csv,LinearSVC(),0.531111111,0.155226283,,,
b100d30.csv,LinearSVC(),0.474074074,0.09041893,,,
b5000d10.csv,LinearSVC(),0.500740741,0.056614597,,,
b5000d100.csv,LinearSVC(),0.395555556,0.0315272,,,
b5000d30.csv,LinearSVC(),0.486666667,0.061612979,,,
b1000d10.csv,LinearSVC(),0.563703704,0.056723525,,,
b1000d100.csv,LinearSVC(),0.444444444,0.103372487,,,
b1000d30.csv,LinearSVC(),0.446296296,0.103934927,,,
b100d10.csv,LinearSVC(),0.421111111,0.096790753,,,
b100d100.csv,LinearSVC(),0.547037037,0.06669341,,,
b100d30.csv,LinearSVC(),0.431851852,0.065225156,,,
b5000d10.csv,LinearSVC(),0.489259259,0.058436417,,,
b5000d100.csv,LinearSVC(),0.352592593,0.03910171,,,
b5000d30.csv,LinearSVC(),0.491851852,0.112434099,,,
b1000d10.csv,LinearSVC(),0.521481481,0.018651375,,,
b1000d100.csv,LinearSVC(),0.397777778,0.065518927,,,
b1000d30.csv,LinearSVC(),0.370740741,0.083865789,,,
b100d10.csv,LinearSVC(),0.53,0.084647255,,,
b100d100.csv,LinearSVC(),0.501851852,0.154462651,,,
b100d30.csv,LinearSVC(),0.460740741,0.087750425,,,
b5000d10.csv,LinearSVC(),0.527037037,0.083251812,,,
b5000d100.csv,LinearSVC(),0.346666667,0.052943534,,,
b5000d30.csv,LinearSVC(),0.427777778,0.066305607,,,
b1000d10.csv,LinearSVC(),0.495555556,0.060808454,,,
b1000d100.csv,LinearSVC(),0.38962963,0.058894712,,,
b1000d30.csv,LinearSVC(),0.433333333,0.097801624,,,
b100d10.csv,LinearSVC(),0.553703704,0.056812932,,,
b100d100.csv,LinearSVC(),0.435555556,0.14312982,,,
b100d30.csv,LinearSVC(),0.496666667,0.07309914,,,
